Frame,Time,X (cm),Y (cm),Z (cm)
967.0,3.22,20.3019,51.345299999999995,66.9587
968.0,3.22333,20.2865,51.38440000000001,67.1276
969.0,3.22667,20.2837,51.4294,67.3059
970.0,3.23,20.2825,51.466899999999995,67.4787
971.0,3.23333,20.2636,51.5061,67.6495
972.0,3.23667,20.259999999999998,51.5625,67.8249
973.0,3.24,20.2467,51.5886,67.9955
974.0,3.24333,20.240199999999998,51.6312,68.17240000000001
975.0,3.24667,20.2303,51.6675,68.3497
976.0,3.25,20.2231,51.7193,68.5154
977.0,3.25333,20.2149,51.756600000000006,68.6875
978.0,3.25667,20.2133,51.7993,68.8693
979.0,3.26,20.2088,51.8352,69.0359
980.0,3.26333,20.197300000000002,51.878,69.2092
981.0,3.26667,20.1894,51.91369999999999,69.3856
982.0,3.27,20.1725,51.942499999999995,69.563
983.0,3.27333,20.162,51.97670000000001,69.7394
984.0,3.27667,20.1575,52.017399999999995,69.90599999999999
985.0,3.28,20.1447,52.057100000000005,70.0867
986.0,3.28333,20.1271,52.102599999999995,70.25460000000001
987.0,3.28667,20.1233,52.132799999999996,70.4362
988.0,3.29,20.1088,52.16609999999999,70.60130000000001
989.0,3.29333,20.1012,52.2059,70.7825
990.0,3.29667,20.0855,52.242200000000004,70.9486
991.0,3.3,20.074,52.2718,71.12910000000001
992.0,3.30333,20.0699,52.306200000000004,71.3024
993.0,3.30667,20.0628,52.3403,71.4722
994.0,3.31,20.055500000000002,52.3848,71.652
995.0,3.31333,20.051499999999997,52.4076,71.8232
996.0,3.31667,20.037200000000002,52.4433,71.9956
997.0,3.32,20.0209,52.47430000000001,72.1748
998.0,3.32333,20.013399999999997,52.510000000000005,72.3494
999.0,3.32667,19.9984,52.5292,72.519
1000.0,3.33,19.994999999999997,52.5687,72.6963
1001.0,3.33333,19.9897,52.5933,72.87440000000001
1002.0,3.33667,19.9757,52.6198,73.0415
1003.0,3.34,19.9541,52.657799999999995,73.2215
1004.0,3.34333,19.946,52.6827,73.396
1005.0,3.34667,19.926,52.70890000000001,73.57390000000001
